ds,y
2025-01-01 00:56:00,0.46
2025-01-01 01:44:00,0.23
2025-01-01 00:43:00,0.36
2025-01-02 01:37:00,0.37
2025-01-02 02:06:00,0.32
2025-01-02 01:13:00,0.47
2025-01-03 02:07:00,0.3
2025-01-03 02:28:00,0.55
2025-01-03 01:41:00,0.69
2025-01-04 02:30:00,0.29
2025-01-04 02:49:00,0.9
2025-01-04 02:08:00,1.01
2025-01-05 02:50:00,0.38
2025-01-05 03:04:00,1.35
2025-01-05 02:32:00,1.41
2025-01-06 03:12:00,0.61
2025-01-06 03:13:00,1.82
2025-01-06 02:49:00,1.84
2025-01-07 03:30:00,0.97
2025-01-07 08:58:00,2.89
2025-01-07 03:01:00,2.24
2025-01-08 03:46:00,1.43
2025-01-08 08:15:00,2.89
2025-01-08 07:37:00,2.8
2025-01-09 00:22:00,2.09
2025-01-09 06:37:00,2.99
2025-01-09 06:02:00,2.84
2025-01-10 10:31:00,2.78
2025-01-10 06:24:00,3.08
2025-01-10 05:21:00,2.92
2025-01-11 06:30:00,2.86
2025-01-11 06:38:00,3.12
2025-01-11 05:21:00,2.96
2025-01-12 06:34:00,3.11
2025-01-12 06:57:00,3.11
2025-01-12 05:39:00,2.98
2025-01-13 07:03:00,3.23
2025-01-13 00:35:00,0.46
2025-01-13 05:58:00,2.98
2025-01-14 00:22:00,0.46
2025-01-14 01:07:00,0.46
2025-01-14 05:46:00,2.97
2025-01-15 01:08:00,0.41
2025-01-15 01:33:00,0.53
2025-01-15 00:10:00,0.77
2025-01-31 01:17:00,0.24
2025-01-01 01:23:00,1.3
2025-01-01 02:04:00,2.16
2025-01-01 04:29:00,2.23
2025-01-02 01:56:00,1.64
2025-01-02 02:46:00,2.34
2025-01-02 05:01:00,2.05
2025-01-03 02:24:00,1.97
2025-01-03 03:45:00,2.43
2025-01-03 05:48:00,1.82
2025-01-04 02:46:00,2.26
2025-01-04 16:27:00,0.43
2025-01-04 06:49:00,1.55
2025-01-05 03:13:00,2.49
2025-01-05 00:18:00,2.86
2025-01-05 00:07:00,2.66
2025-01-06 01:07:00,2.77
2025-01-06 01:08:00,2.78
2025-01-06 00:39:00,2.51
2025-01-07 02:38:00,2.79
2025-01-07 01:52:00,2.72
2025-01-07 01:10:00,2.36
2025-01-08 03:32:00,2.82
2025-01-08 02:30:00,2.67
2025-01-08 01:39:00,2.23
2025-01-09 04:05:00,2.83
2025-01-09 03:02:00,2.61
2025-01-09 02:08:00,2.16
2025-01-10 04:29:00,2.83
2025-01-10 03:28:00,2.54
2025-01-10 00:02:00,1.93
2025-01-11 04:49:00,2.81
2025-01-11 03:46:00,2.46
2025-01-11 00:44:00,1.96
2025-01-12 05:05:00,2.76
2025-01-12 04:02:00,2.41
2025-01-12 01:22:00,2.02
2025-01-13 00:05:00,1.21
2025-01-13 00:35:00,1.73
2025-01-13 02:02:00,2.07
2025-01-14 00:44:00,1.34
2025-01-14 01:11:00,1.83
2025-01-14 02:45:00,2.1
2025-01-15 01:17:00,1.5
2025-01-15 01:44:00,1.94
2025-01-15 14:58:00,0.12
2025-01-31 15:22:00,0.14
2025-01-01 04:08:00,1.6
2025-01-01 04:36:00,0.75
2025-01-01 04:43:00,0.55
2025-01-02 04:43:00,1.34
2025-01-02 05:13:00,0.66
2025-01-02 05:27:00,0.58
2025-01-03 05:26:00,1.11
2025-01-03 05:52:00,0.61
2025-01-03 06:35:00,0.61
2025-01-04 06:16:00,0.92
2025-01-04 06:39:00,0.57
2025-01-04 08:07:00,0.59
2025-01-05 07:15:00,0.74
2025-01-05 07:43:00,0.53
2025-01-05 09:48:00,0.49
2025-01-06 08:18:00,0.59
2025-01-06 09:19:00,0.46
2025-01-06 10:52:00,0.37
2025-01-07 09:19:00,0.46
2025-01-07 10:43:00,0.35
2025-01-07 00:37:00,1.75
2025-01-08 10:16:00,0.37
2025-01-08 11:43:00,0.22
2025-01-08 00:47:00,1.56
2025-01-09 11:15:00,0.31
2025-01-09 12:30:00,0.11
2025-01-09 01:09:00,1.31
2025-01-10 12:11:00,0.23
2025-01-10 01:47:00,1.88
2025-01-10 01:36:00,1.04
2025-01-11 13:00:00,0.14
2025-01-11 02:00:00,1.74
2025-01-11 02:07:00,0.77
2025-01-12 13:40:00,0.06
2025-01-12 02:18:00,1.53
2025-01-12 02:41:00,0.56
2025-01-13 02:46:00,2.0
2025-01-13 02:43:00,1.26
2025-01-13 03:19:00,0.43
2025-01-14 03:05:00,1.9
2025-01-14 03:13:00,0.97
2025-01-14 04:00:00,0.4
2025-01-15 03:26:00,1.73
2025-01-15 03:48:00,0.73
2025-01-15 04:50:00,0.43
2025-01-31 04:02:00,0.89
2025-01-01 04:34:00,0.65
2025-01-01 05:59:00,1.04
2025-01-01 00:48:00,1.95
2025-01-02 05:43:00,0.73
2025-01-02 00:40:00,1.83
2025-01-02 03:17:00,2.31
2025-01-03 07:11:00,0.79
2025-01-03 03:13:00,2.17
2025-01-03 04:42:00,2.75
2025-01-04 08:48:00,0.78
2025-01-04 04:22:00,2.6
2025-01-04 05:45:00,3.11
2025-01-05 03:06:00,1.97
2025-01-05 05:20:00,2.97
2025-01-05 06:45:00,3.33
2025-01-06 04:12:00,2.31
2025-01-06 06:15:00,3.22
2025-01-06 00:42:00,0.41
2025-01-07 05:06:00,2.65
2025-01-07 00:40:00,0.44
2025-01-07 01:37:00,0.37
2025-01-08 00:27:00,0.84
2025-01-08 01:30:00,0.41
2025-01-08 02:23:00,0.37
2025-01-09 01:01:00,0.62
2025-01-09 02:17:00,0.42
2025-01-09 02:57:00,0.41
2025-01-10 01:39:00,0.48
2025-01-10 03:01:00,0.45
2025-01-10 03:18:00,0.51
2025-01-11 02:19:00,0.41
2025-01-11 03:38:00,0.52
2025-01-11 03:22:00,0.65
2025-01-12 03:01:00,0.4
2025-01-12 04:05:00,0.63
2025-01-12 03:25:00,0.85
2025-01-13 03:45:00,0.45
2025-01-13 04:21:00,0.8
2025-01-13 03:43:00,1.15
2025-01-14 04:32:00,0.54
2025-01-14 04:50:00,1.04
2025-01-14 04:02:00,1.55
2025-01-15 05:25:00,0.67
2025-01-15 05:49:00,1.36
2025-01-15 12:00:00,2.7
2025-01-31 04:47:00,0.85
