à¸§à¸±à¸à¸à¸µà¹,à¹à¸§à¸¥à¸²,à¸£à¸°à¸à¸±à¸à¸à¹à¸³
01/06/2567,1:00,3.72
01/06/2567,0:00,3.72
31/05/2567,23:00,3.59
31/05/2567,22:00,3.25
31/05/2567,21:00,2.73
31/05/2567,20:00,2.41
31/05/2567,19:00,2.09
31/05/2567,18:00,1.74
31/05/2567,17:00,1.43
31/05/2567,16:00,1.41
31/05/2567,15:00,1.58
31/05/2567,14:00,1.89
31/05/2567,13:00,2.13
31/05/2567,12:00,2.31
31/05/2567,11:00,2.67
31/05/2567,10:00,2.83
31/05/2567,9:00,2.88
31/05/2567,8:00,2.76
31/05/2567,7:00,2.75
31/05/2567,6:00,2.69
31/05/2567,5:00,2.92
31/05/2567,4:00,3
31/05/2567,3:00,3.24
31/05/2567,2:00,3.53
31/05/2567,1:00,3.71
31/05/2567,0:00,3.79
30/05/2567,23:00,3.63
30/05/2567,22:00,3.45
30/05/2567,21:00,3.29
30/05/2567,20:00,2.67
30/05/2567,19:00,2.23
30/05/2567,18:00,1.64
30/05/2567,17:00,1.26
30/05/2567,16:00,1.23
30/05/2567,15:00,1.35
30/05/2567,14:00,1.53
30/05/2567,13:00,1.79
30/05/2567,12:00,2.08
30/05/2567,11:00,2.4
30/05/2567,10:00,2.69
30/05/2567,9:00,2.88
30/05/2567,8:00,3.01
30/05/2567,7:00,3.04
30/05/2567,6:00,3.11
30/05/2567,5:00,3.11
30/05/2567,4:00,3.21
30/05/2567,3:00,3.39
30/05/2567,2:00,3.57
30/05/2567,1:00,3.84
30/05/2567,0:00,3.95
29/05/2567,23:00,3.93
29/05/2567,22:00,3.75
29/05/2567,21:00,3.42
29/05/2567,20:00,2.82
29/05/2567,19:00,2.24
29/05/2567,18:00,1.67
29/05/2567,17:00,1.21
29/05/2567,16:00,1
29/05/2567,15:00,1.12
29/05/2567,14:00,1.28
29/05/2567,13:00,1.51
29/05/2567,12:00,1.79
29/05/2567,11:00,2.13
29/05/2567,10:00,2.47
29/05/2567,9:00,2.8
29/05/2567,8:00,3.04
29/05/2567,7:00,3.08
29/05/2567,6:00,3.09
29/05/2567,5:00,2.97
29/05/2567,4:00,3.03
29/05/2567,3:00,3.15
29/05/2567,2:00,3.39
29/05/2567,1:00,3.58
29/05/2567,0:00,3.87
28/05/2567,23:00,3.99
28/05/2567,22:00,3.94
28/05/2567,21:00,3.74
28/05/2567,20:00,3.36
28/05/2567,19:00,2.81
28/05/2567,18:00,2.19
28/05/2567,17:00,1.51
28/05/2567,16:00,1.02
28/05/2567,15:00,1.01
28/05/2567,14:00,1.15
28/05/2567,13:00,1.37
28/05/2567,12:00,1.65
28/05/2567,11:00,1.97
28/05/2567,10:00,2.35
28/05/2567,9:00,2.75
28/05/2567,8:00,3.02
28/05/2567,7:00,3.21
28/05/2567,6:00,3.32
28/05/2567,5:00,3.3
28/05/2567,4:00,3.17
28/05/2567,3:00,3.23
28/05/2567,2:00,3.34
28/05/2567,1:00,3.53
28/05/2567,0:00,3.82
27/05/2567,23:00,3.91
27/05/2567,22:00,4.19
27/05/2567,21:00,4.08
27/05/2567,20:00,3.78
27/05/2567,19:00,3.32
27/05/2567,18:00,2.69
27/05/2567,17:00,1.96
27/05/2567,16:00,1.11
27/05/2567,15:00,0.93
27/05/2567,14:00,1.03
27/05/2567,13:00,1.19
27/05/2567,12:00,1.39
27/05/2567,11:00,1.68
27/05/2567,10:00,2.05
27/05/2567,9:00,2.44
27/05/2567,8:00,2.81
27/05/2567,7:00,3.04
27/05/2567,6:00,3.16
27/05/2567,5:00,3.25
27/05/2567,4:00,3.14
27/05/2567,3:00,2.87
27/05/2567,2:00,3.01
27/05/2567,1:00,3.17
27/05/2567,0:00,3.39
26/05/2567,23:00,3.7
26/05/2567,22:00,3.59
26/05/2567,21:00,4.17
26/05/2567,20:00,4.03
26/05/2567,19:00,3.7
26/05/2567,18:00,3.25
26/05/2567,17:00,2.65
26/05/2567,16:00,1.94
26/05/2567,15:00,1.41
26/05/2567,14:00,1.08
26/05/2567,13:00,1.17
26/05/2567,12:00,1.33
26/05/2567,11:00,1.57
26/05/2567,10:00,1.87
26/05/2567,9:00,2.2
26/05/2567,8:00,2.56
26/05/2567,7:00,3
26/05/2567,6:00,3.19
26/05/2567,5:00,3.27
26/05/2567,4:00,3.31
26/05/2567,3:00,3.08
26/05/2567,2:00,3.1
26/05/2567,1:00,3.17
26/05/2567,0:00,3.29
25/05/2567,23:00,3.62
25/05/2567,22:00,3.91
25/05/2567,21:00,4.18
25/05/2567,20:00,4.25
25/05/2567,19:00,3.93
25/05/2567,18:00,3.69
25/05/2567,17:00,3.19
25/05/2567,16:00,2.41
25/05/2567,15:00,1.76
25/05/2567,14:00,1.21
25/05/2567,13:00,1.1
25/05/2567,12:00,1.21
25/05/2567,11:00,1.41
25/05/2567,10:00,1.74
25/05/2567,9:00,2.09
25/05/2567,8:00,2.44
25/05/2567,7:00,2.8
25/05/2567,6:00,3.11
25/05/2567,5:00,3.25
25/05/2567,4:00,3.25
25/05/2567,3:00,3.14
25/05/2567,2:00,3.07
25/05/2567,1:00,2.99
25/05/2567,0:00,3.1
24/05/2567,23:00,3.34
24/05/2567,22:00,3.63
24/05/2567,21:00,3.95
24/05/2567,20:00,4.09
24/05/2567,19:00,4.01
24/05/2567,18:00,3.91
24/05/2567,17:00,3.49
24/05/2567,16:00,2.9
24/05/2567,15:00,2.2
24/05/2567,14:00,1.58
24/05/2567,13:00,1.11
24/05/2567,12:00,1.15
24/05/2567,11:00,1.36
24/05/2567,10:00,1.61
24/05/2567,9:00,1.93
24/05/2567,8:00,2.32
24/05/2567,7:00,2.67
24/05/2567,6:00,3.03
24/05/2567,5:00,3.23
24/05/2567,4:00,3.37
24/05/2567,3:00,3.19
24/05/2567,2:00,2.99
24/05/2567,1:00,2.75
24/05/2567,0:00,2.79
23/05/2567,23:00,2.99
23/05/2567,22:00,3.27
23/05/2567,21:00,3.51
23/05/2567,20:00,3.96
23/05/2567,19:00,4.08
23/05/2567,18:00,4.01
23/05/2567,17:00,3.74
23/05/2567,16:00,3.27
23/05/2567,15:00,2.62
23/05/2567,14:00,2.03
23/05/2567,13:00,1.39
23/05/2567,12:00,1.13
23/05/2567,11:00,1.27
23/05/2567,10:00,1.51
23/05/2567,9:00,1.78
23/05/2567,8:00,2.13
23/05/2567,7:00,2.48
23/05/2567,6:00,2.88
23/05/2567,5:00,3.15
23/05/2567,4:00,3.25
23/05/2567,3:00,3.15
23/05/2567,2:00,2.98
23/05/2567,1:00,2.84
23/05/2567,0:00,2.75
22/05/2567,23:00,2.72
22/05/2567,22:00,2.9
22/05/2567,21:00,3.18
22/05/2567,20:00,3.46
22/05/2567,19:00,3.66
22/05/2567,18:00,3.68
22/05/2567,17:00,3.61
22/05/2567,16:00,3.29
22/05/2567,15:00,2.79
22/05/2567,14:00,2.31
22/05/2567,13:00,1.76
22/05/2567,12:00,1.49
22/05/2567,11:00,1.28
22/05/2567,10:00,1.43
22/05/2567,9:00,1.74
22/05/2567,8:00,2.02
22/05/2567,7:00,2.37
22/05/2567,6:00,2.7
22/05/2567,5:00,2.96
22/05/2567,4:00,3.12
22/05/2567,3:00,3.29
22/05/2567,2:00,2.98
22/05/2567,1:00,2.72
22/05/2567,0:00,2.78
21/05/2567,23:00,2.72
21/05/2567,22:00,2.86
21/05/2567,21:00,2.92
21/05/2567,20:00,3.28
21/05/2567,19:00,3.46
21/05/2567,18:00,3.69
21/05/2567,17:00,3.65
21/05/2567,16:00,3.45
21/05/2567,15:00,3.17
21/05/2567,14:00,2.72
21/05/2567,13:00,2.29
21/05/2567,12:00,1.71
21/05/2567,11:00,1.6
21/05/2567,10:00,1.59
21/05/2567,9:00,1.81
21/05/2567,8:00,2.08
21/05/2567,7:00,2.45
21/05/2567,6:00,2.87
21/05/2567,5:00,3.19
21/05/2567,4:00,3.45
21/05/2567,3:00,3.51
21/05/2567,2:00,3.47
21/05/2567,1:00,3.23
21/05/2567,0:00,2.94
20/05/2567,23:00,2.76
20/05/2567,22:00,2.69
20/05/2567,21:00,2.77
20/05/2567,20:00,2.79
20/05/2567,19:00,2.96
20/05/2567,18:00,3.18
20/05/2567,17:00,3.32
20/05/2567,16:00,3.23
20/05/2567,15:00,3.1
20/05/2567,14:00,2.85
20/05/2567,13:00,2.52
20/05/2567,12:00,2.19
20/05/2567,11:00,1.86
20/05/2567,10:00,1.78
20/05/2567,9:00,1.92
20/05/2567,8:00,2.15
20/05/2567,7:00,2.41
20/05/2567,6:00,2.77
20/05/2567,5:00,3.1
20/05/2567,4:00,3.44
20/05/2567,3:00,3.43
20/05/2567,2:00,3.43
20/05/2567,1:00,3.4
20/05/2567,0:00,3.16
19/05/2567,23:00,3.06
19/05/2567,22:00,2.85
19/05/2567,21:00,2.56
19/05/2567,20:00,2.74
19/05/2567,19:00,2.86
19/05/2567,18:00,2.96
19/05/2567,17:00,2.96
19/05/2567,16:00,3.03
19/05/2567,15:00,2.93
19/05/2567,14:00,2.86
19/05/2567,13:00,2.64
19/05/2567,12:00,2.47
19/05/2567,11:00,2.15
19/05/2567,10:00,2.08
19/05/2567,9:00,2.15
19/05/2567,8:00,2.27
19/05/2567,7:00,2.53
19/05/2567,6:00,2.86
19/05/2567,5:00,3.18
19/05/2567,4:00,3.45
19/05/2567,3:00,3.62
19/05/2567,2:00,3.7
19/05/2567,1:00,3.59
19/05/2567,0:00,3.44
18/05/2567,23:00,3.12
18/05/2567,22:00,2.8
18/05/2567,21:00,2.47
18/05/2567,20:00,2.36
18/05/2567,19:00,2.21
18/05/2567,18:00,2.26
18/05/2567,17:00,2.31
18/05/2567,16:00,2.43
18/05/2567,15:00,2.53
18/05/2567,14:00,2.53
18/05/2567,13:00,2.57
18/05/2567,12:00,2.51
18/05/2567,11:00,2.4
18/05/2567,10:00,2.35
18/05/2567,9:00,2.33
18/05/2567,8:00,2.41
18/05/2567,7:00,2.59
18/05/2567,6:00,2.79
18/05/2567,5:00,2.99
18/05/2567,4:00,3.22
18/05/2567,3:00,3.39
18/05/2567,2:00,3.49
18/05/2567,1:00,3.47
18/05/2567,0:00,3.31
17/05/2567,23:00,3.23
17/05/2567,22:00,2.92
17/05/2567,21:00,2.62
17/05/2567,20:00,2.4
17/05/2567,19:00,2.3
17/05/2567,18:00,2.11
17/05/2567,17:00,2.05
17/05/2567,16:00,2.07
17/05/2567,15:00,2.16
17/05/2567,14:00,2.3
17/05/2567,13:00,2.35
17/05/2567,12:00,2.54
17/05/2567,11:00,2.66
17/05/2567,10:00,2.62
17/05/2567,9:00,2.74
17/05/2567,8:00,2.57
17/05/2567,7:00,2.7
17/05/2567,6:00,3.11
17/05/2567,5:00,3.13
17/05/2567,4:00,3.56
17/05/2567,3:00,3.68
17/05/2567,2:00,3.8
17/05/2567,1:00,3.82
17/05/2567,0:00,3.7
16/05/2567,23:00,3.52
16/05/2567,22:00,3.2
16/05/2567,21:00,2.93
16/05/2567,20:00,2.5
16/05/2567,19:00,2.12
16/05/2567,18:00,1.87
16/05/2567,17:00,1.63
16/05/2567,16:00,1.67
16/05/2567,15:00,1.78
16/05/2567,14:00,1.93
16/05/2567,13:00,2.2
16/05/2567,12:00,2.45
16/05/2567,11:00,2.55
16/05/2567,10:00,2.71
16/05/2567,9:00,2.85
16/05/2567,8:00,2.77
16/05/2567,7:00,2.96
16/05/2567,6:00,2.94
16/05/2567,5:00,3.06
16/05/2567,4:00,3.22
16/05/2567,3:00,3.43
16/05/2567,2:00,3.67
16/05/2567,1:00,3.83
16/05/2567,0:00,3.86
15/05/2567,23:00,3.74
15/05/2567,22:00,3.5
15/05/2567,21:00,3.16
15/05/2567,20:00,2.71
15/05/2567,19:00,2.25
15/05/2567,18:00,1.73
15/05/2567,17:00,1.56
15/05/2567,16:00,1.44
15/05/2567,15:00,1.54
15/05/2567,14:00,1.74
15/05/2567,13:00,2
15/05/2567,12:00,2.24
15/05/2567,11:00,2.52
15/05/2567,10:00,2.81
15/05/2567,9:00,3
15/05/2567,8:00,3.13
15/05/2567,7:00,3.13
15/05/2567,6:00,3.2
15/05/2567,5:00,3.26
15/05/2567,4:00,3.36
15/05/2567,3:00,3.53
15/05/2567,2:00,3.63
15/05/2567,1:00,3.8
15/05/2567,0:00,3.88
14/05/2567,23:00,3.8
14/05/2567,22:00,3.56
14/05/2567,21:00,3.25
14/05/2567,20:00,2.79
14/05/2567,19:00,2.3
14/05/2567,18:00,1.78
14/05/2567,17:00,1.4
14/05/2567,16:00,1.12
14/05/2567,15:00,1.22
14/05/2567,14:00,1.4
14/05/2567,13:00,1.63
14/05/2567,12:00,1.92
14/05/2567,11:00,2.22
14/05/2567,10:00,2.6
14/05/2567,9:00,2.91
14/05/2567,8:00,3.11
14/05/2567,7:00,3.09
14/05/2567,6:00,3.17
14/05/2567,5:00,3.25
14/05/2567,4:00,3.22
14/05/2567,3:00,3.32
14/05/2567,2:00,3.37
14/05/2567,1:00,3.62
14/05/2567,0:00,3.81
13/05/2567,23:00,3.84
13/05/2567,22:00,3.72
13/05/2567,21:00,3.68
13/05/2567,20:00,3.35
13/05/2567,19:00,2.68
13/05/2567,18:00,2.05
13/05/2567,17:00,1.48
13/05/2567,16:00,1.1
13/05/2567,15:00,1.14
13/05/2567,14:00,1.33
13/05/2567,13:00,1.56
13/05/2567,12:00,1.84
13/05/2567,11:00,2.16
13/05/2567,10:00,2.5
13/05/2567,9:00,2.93
13/05/2567,8:00,3.25
13/05/2567,7:00,3.42
13/05/2567,6:00,3.49
13/05/2567,5:00,3.34
13/05/2567,4:00,3.33
13/05/2567,3:00,3.31
13/05/2567,2:00,3.43
13/05/2567,1:00,3.61
13/05/2567,0:00,3.82
12/05/2567,23:00,3.99
12/05/2567,22:00,4.02
12/05/2567,21:00,3.88
12/05/2567,20:00,3.56
12/05/2567,19:00,3.07
12/05/2567,18:00,2.43
12/05/2567,17:00,1.65
12/05/2567,16:00,1.03
12/05/2567,15:00,0.96
12/05/2567,14:00,1.08
12/05/2567,13:00,1.25
12/05/2567,12:00,1.5
12/05/2567,11:00,1.82
12/05/2567,10:00,2.17
12/05/2567,9:00,2.56
12/05/2567,8:00,2.89
12/05/2567,7:00,3.19
12/05/2567,6:00,3.34
12/05/2567,5:00,3.26
12/05/2567,4:00,3.09
12/05/2567,3:00,3.07
12/05/2567,2:00,3.11
12/05/2567,1:00,3.29
12/05/2567,0:00,3.45
11/05/2567,23:00,3.76
11/05/2567,22:00,3.96
11/05/2567,21:00,3.98
11/05/2567,20:00,3.8
11/05/2567,19:00,3.38
11/05/2567,18:00,2.82
11/05/2567,17:00,2.15
11/05/2567,16:00,1.39
11/05/2567,15:00,0.99
11/05/2567,14:00,1.01
11/05/2567,13:00,1.14
11/05/2567,12:00,1.34
11/05/2567,11:00,1.61
11/05/2567,10:00,1.94
11/05/2567,9:00,2.41
11/05/2567,8:00,2.79
11/05/2567,7:00,3.16
11/05/2567,6:00,3.33
11/05/2567,5:00,3.36
11/05/2567,4:00,3.25
11/05/2567,3:00,3.13
11/05/2567,2:00,3.14
11/05/2567,1:00,3.17
11/05/2567,0:00,3.39
10/05/2567,23:00,3.64
10/05/2567,22:00,4.05
10/05/2567,21:00,4.24
10/05/2567,20:00,4.25
10/05/2567,19:00,4.1
10/05/2567,18:00,3.75
10/05/2567,17:00,3.17
10/05/2567,16:00,2.48
10/05/2567,15:00,1.7
10/05/2567,14:00,1.11
10/05/2567,13:00,1.15
10/05/2567,12:00,1.31
10/05/2567,11:00,1.61
10/05/2567,10:00,1.95
10/05/2567,9:00,2.36
10/05/2567,8:00,2.79
10/05/2567,7:00,3.2
10/05/2567,6:00,3.41
10/05/2567,5:00,3.6
10/05/2567,4:00,3.5
10/05/2567,3:00,3.2
10/05/2567,2:00,3.06
10/05/2567,1:00,2.92
10/05/2567,0:00,3.1
09/05/2567,23:00,3.31
09/05/2567,22:00,3.7
09/05/2567,21:00,4.01
09/05/2567,20:00,4.21
09/05/2567,19:00,4.17
09/05/2567,18:00,4.02
09/05/2567,17:00,3.6
09/05/2567,16:00,3.02
09/05/2567,15:00,2.23
09/05/2567,14:00,1.49
09/05/2567,13:00,1.1
09/05/2567,12:00,1.23
09/05/2567,11:00,1.44
09/05/2567,10:00,1.74
09/05/2567,9:00,2.14
09/05/2567,8:00,2.57
09/05/2567,7:00,3.03
09/05/2567,6:00,3.37
09/05/2567,5:00,3.62
09/05/2567,4:00,3.64
09/05/2567,3:00,3.42
09/05/2567,2:00,3.01
09/05/2567,1:00,2.75
09/05/2567,0:00,2.68
08/05/2567,23:00,2.75
08/05/2567,22:00,3
08/05/2567,21:00,3.34
08/05/2567,20:00,3.71
08/05/2567,19:00,3.96
08/05/2567,18:00,3.91
08/05/2567,17:00,3.63
08/05/2567,16:00,3.24
08/05/2567,15:00,2.58
08/05/2567,14:00,1.8
08/05/2567,13:00,1.19
08/05/2567,12:00,1.14
08/05/2567,11:00,1.31
08/05/2567,10:00,1.53
08/05/2567,9:00,1.84
08/05/2567,8:00,2.3
08/05/2567,7:00,2.75
08/05/2567,6:00,3.19
08/05/2567,5:00,3.49
08/05/2567,4:00,3.59
08/05/2567,3:00,3.5
08/05/2567,2:00,3.21
08/05/2567,1:00,2.65
08/05/2567,0:00,2.51
07/05/2567,23:00,2.37
07/05/2567,22:00,2.57
07/05/2567,21:00,2.8
07/05/2567,20:00,3.05
07/05/2567,19:00,3.52
07/05/2567,18:00,3.86
07/05/2567,17:00,3.65
07/05/2567,16:00,3.37
07/05/2567,15:00,3.12
07/05/2567,14:00,2.55
07/05/2567,13:00,1.82
07/05/2567,12:00,1.41
07/05/2567,11:00,1.47
07/05/2567,10:00,1.72
07/05/2567,9:00,2.09
07/05/2567,8:00,2.5
07/05/2567,7:00,2.81
07/05/2567,6:00,3.3
07/05/2567,5:00,3.6
07/05/2567,4:00,3.77
07/05/2567,3:00,3.73
07/05/2567,2:00,3.49
07/05/2567,1:00,2.98
07/05/2567,0:00,2.58
06/05/2567,23:00,2.31
06/05/2567,22:00,2.26
06/05/2567,21:00,2.34
06/05/2567,20:00,2.7
06/05/2567,19:00,3.1
06/05/2567,18:00,3.29
06/05/2567,17:00,3.47
06/05/2567,16:00,3.49
06/05/2567,15:00,3.39
06/05/2567,14:00,2.99
06/05/2567,13:00,2.47
06/05/2567,12:00,2.03
06/05/2567,11:00,1.8
06/05/2567,10:00,1.8
06/05/2567,9:00,2
06/05/2567,8:00,2.33
06/05/2567,7:00,2.73
06/05/2567,6:00,3.17
06/05/2567,5:00,3.58
06/05/2567,4:00,3.72
06/05/2567,3:00,3.75
06/05/2567,2:00,3.56
06/05/2567,1:00,3.17
06/05/2567,0:00,2.82
05/05/2567,23:00,2.31
05/05/2567,22:00,2.09
05/05/2567,21:00,2.03
05/05/2567,20:00,2.16
05/05/2567,19:00,2.33
05/05/2567,18:00,2.59
05/05/2567,17:00,2.81
05/05/2567,16:00,2.98
05/05/2567,15:00,2.97
05/05/2567,14:00,2.87
05/05/2567,13:00,2.6
05/05/2567,12:00,2.29
05/05/2567,11:00,2.14
05/05/2567,10:00,2.09
05/05/2567,9:00,2.22
05/05/2567,8:00,2.47
05/05/2567,7:00,2.76
05/05/2567,6:00,3.11
05/05/2567,5:00,3.43
05/05/2567,4:00,3.74
05/05/2567,3:00,3.77
05/05/2567,2:00,3.61
05/05/2567,1:00,3.35
05/05/2567,0:00,3.01
04/05/2567,23:00,2.59
04/05/2567,22:00,2.17
04/05/2567,21:00,1.94
04/05/2567,20:00,1.82
04/05/2567,19:00,1.88
04/05/2567,18:00,2.01
04/05/2567,17:00,2.25
04/05/2567,16:00,2.34
04/05/2567,15:00,2.46
04/05/2567,14:00,2.71
04/05/2567,13:00,2.72
04/05/2567,12:00,2.63
04/05/2567,11:00,2.56
04/05/2567,10:00,2.59
04/05/2567,9:00,2.6
04/05/2567,8:00,2.74
04/05/2567,7:00,2.93
04/05/2567,6:00,3.26
04/05/2567,5:00,3.53
04/05/2567,4:00,3.72
04/05/2567,3:00,3.81
04/05/2567,2:00,3.72
04/05/2567,1:00,3.56
04/05/2567,0:00,3.29
03/05/2567,23:00,2.91
03/05/2567,22:00,2.49
03/05/2567,21:00,2.14
03/05/2567,20:00,1.89
03/05/2567,19:00,1.63
03/05/2567,18:00,1.61
03/05/2567,17:00,1.7
03/05/2567,16:00,1.84
03/05/2567,15:00,2.03
03/05/2567,14:00,2.22
03/05/2567,13:00,2.36
03/05/2567,12:00,2.52
03/05/2567,11:00,2.65
03/05/2567,10:00,2.74
03/05/2567,9:00,2.8
03/05/2567,8:00,2.91
03/05/2567,7:00,3.11
03/05/2567,6:00,3.28
03/05/2567,5:00,3.47
03/05/2567,4:00,3.62
03/05/2567,3:00,3.78
03/05/2567,2:00,3.84
03/05/2567,1:00,3.74
03/05/2567,0:00,3.55
02/05/2567,23:00,3.23
02/05/2567,22:00,2.89
02/05/2567,21:00,2.47
02/05/2567,20:00,2.11
02/05/2567,19:00,1.8
02/05/2567,18:00,1.63
02/05/2567,17:00,1.58
02/05/2567,16:00,1.68
02/05/2567,15:00,1.83
02/05/2567,14:00,2.05
02/05/2567,13:00,2.25
02/05/2567,12:00,2.43
02/05/2567,11:00,2.64
02/05/2567,10:00,2.84
02/05/2567,9:00,3.01
02/05/2567,8:00,3.09
02/05/2567,7:00,3.25
02/05/2567,6:00,3.35
02/05/2567,5:00,3.44
02/05/2567,4:00,3.55
02/05/2567,3:00,3.64
02/05/2567,2:00,3.79
02/05/2567,1:00,3.83
02/05/2567,0:00,3.78
01/05/2567,23:00,3.62
01/05/2567,22:00,3.29
01/05/2567,21:00,2.89
01/05/2567,20:00,2.41
01/05/2567,19:00,1.99
01/05/2567,18:00,1.6
01/05/2567,17:00,1.33
01/05/2567,16:00,1.26
01/05/2567,15:00,1.39
01/05/2567,14:00,1.64
01/05/2567,13:00,1.9
01/05/2567,12:00,2.18
01/05/2567,11:00,2.49
01/05/2567,10:00,2.85
01/05/2567,9:00,3.05
01/05/2567,8:00,3.18
01/05/2567,7:00,3.22
01/05/2567,6:00,3.23
01/05/2567,5:00,3.29
01/05/2567,4:00,3.33
01/05/2567,3:00,3.46
01/05/2567,2:00,3.6
01/05/2567,1:00,3.79
01/05/2567,0:00,3.88
